sample_id,GENE_001,GENE_002,GENE_003,GENE_004,GENE_005,GENE_006,GENE_007,GENE_008,GENE_009,GENE_010,GENE_011,GENE_012,GENE_013,GENE_014,GENE_015,GENE_016,GENE_017,GENE_018,GENE_019,GENE_020,GENE_021,GENE_022,GENE_023,GENE_024,GENE_025,GENE_026,GENE_027,GENE_028,GENE_029,GENE_030,GENE_031,GENE_032,GENE_033,GENE_034,GENE_035,GENE_036,GENE_037,GENE_038,GENE_039,GENE_040
DEV_001,5.53951453256487,4.370381830512162,6.346976645005611,4.201507687609532,4.114653821227783,5.706060332641124,5.98304973337093,5.306921830545099,3.2853481110297147,5.624463188169688,3.781137898821674,5.09889875864405,3.4748511467890246,5.238776831239451,4.004643807016773,3.902697549049091,6.218619312184061,5.796736969965305,4.8252124901189495,6.982588666577424,4.957723532101634,5.466277175766971,5.889940905017648,4.751136717424936,6.0992126813853105,4.890170090836806,5.030110751365524,6.717894101851396,4.292282425484048,2.9983556106188827,6.507405647968132,7.461393482162942,4.452505051731105,2.5753531314527423,4.530520933127002,4.6045201200878045,4.674506891908603,3.6452629974977313,5.388949080302665,5.175000250771662
DEV_002,5.98304973337093,5.796736969965305,6.982588666577424,4.530520933127002,4.751136717424936,4.6045201200878045,5.889940905017648,7.461393482162942,4.674506891908603,4.8252124901189495,5.388949080302665,5.09889875864405,6.0992126813853105,2.9983556106188827,4.201507687609532,4.114653821227783,2.5753531314527423,3.781137898821674,3.902697549049091,5.030110751365524,6.346976645005611,4.890170090836806,3.4748511467890246,5.175000250771662,6.218619312184061,3.6452629974977313,4.004643807016773,5.624463188169688,4.957723532101634,5.706060332641124,5.466277175766971,6.717894101851396,4.370381830512162,5.53951453256487,5.306921830545099,4.292282425484048,3.2853481110297147,6.507405647968132,5.238776831239451,4.452505051731105
DEV_003,6.218619312184061,5.53951453256487,5.889940905017648,5.624463188169688,5.388949080302665,2.9983556106188827,4.957723532101634,4.114653821227783,3.6452629974977313,6.717894101851396,6.982588666577424,6.507405647968132,5.306921830545099,6.346976645005611,4.751136717424936,5.09889875864405,3.781137898821674,5.466277175766971,4.890170090836806,3.4748511467890246,4.6045201200878045,4.530520933127002,7.461393482162942,6.0992126813853105,4.674506891908603,5.238776831239451,4.8252124901189495,4.370381830512162,3.902697549049091,4.452505051731105,4.004643807016773,3.2853481110297147,5.175000250771662,5.030110751365524,2.5753531314527423,4.201507687609532,5.706060332641124,5.98304973337093,5.796736969965305,4.292282425484048
DEV_004,6.982588666577424,5.53951453256487,6.717894101851396,5.306921830545099,5.624463188169688,6.0992126813853105,7.461393482162942,6.218619312184061,4.292282425484048,6.507405647968132,5.030110751365524,4.6045201200878045,6.346976645005611,5.466277175766971,5.796736969965305,4.751136717424936,5.175000250771662,5.388949080302665,2.5753531314527423,5.706060332641124,3.781137898821674,3.4748511467890246,4.452505051731105,4.890170090836806,4.004643807016773,5.98304973337093,3.6452629974977313,4.201507687609532,4.114653821227783,4.530520933127002,5.238776831239451,3.902697549049091,5.889940905017648,5.09889875864405,3.2853481110297147,2.9983556106188827,4.957723532101634,4.370381830512162,4.674506891908603,4.8252124901189495
DEV_005,4.004643807016773,3.4748511467890246,4.6045201200878045,3.6452629974977313,4.292282425484048,6.507405647968132,4.201507687609532,4.8252124901189495,4.114653821227783,4.452505051731105,4.370381830512162,4.957723532101634,5.466277175766971,6.0992126813853105,4.674506891908603,5.889940905017648,3.781137898821674,5.030110751365524,6.346976645005611,5.98304973337093,5.175000250771662,6.218619312184061,5.706060332641124,6.717894101851396,5.238776831239451,4.890170090836806,5.306921830545099,2.9983556106188827,5.388949080302665,2.5753531314527423,3.2853481110297147,5.624463188169688,5.796736969965305,3.902697549049091,4.530520933127002,6.982588666577424,4.751136717424936,7.461393482162942,5.09889875864405,5.53951453256487
DEV_006,4.530520933127002,3.902697549049091,4.114653821227783,5.53951453256487,4.674506891908603,5.09889875864405,5.624463188169688,4.201507687609532,5.796736969965305,5.175000250771662,3.4748511467890246,6.717894101851396,4.004643807016773,3.2853481110297147,3.6452629974977313,3.781137898821674,5.030110751365524,4.452505051731105,4.370381830512162,5.98304973337093,5.388949080302665,5.238776831239451,5.466277175766971,5.889940905017648,2.9983556106188827,4.292282425484048,2.5753531314527423,4.957723532101634,4.890170090836806,6.346976645005611,7.461393482162942,5.706060332641124,4.8252124901189495,6.0992126813853105,4.751136717424936,5.306921830545099,6.982588666577424,4.6045201200878045,6.507405647968132,6.218619312184061
DEV_007,5.09889875864405,4.6045201200878045,5.388949080302665,4.890170090836806,4.957723532101634,4.292282425484048,3.2853481110297147,2.5753531314527423,5.706060332641124,4.530520933127002,4.114653821227783,4.674506891908603,5.889940905017648,5.030110751365524,4.004643807016773,6.218619312184061,6.982588666577424,5.238776831239451,5.98304973337093,6.507405647968132,6.0992126813853105,5.53951453256487,5.466277175766971,5.306921830545099,3.4748511467890246,5.624463188169688,2.9983556106188827,3.902697549049091,6.717894101851396,5.796736969965305,7.461393482162942,4.370381830512162,3.6452629974977313,4.452505051731105,4.8252124901189495,4.751136717424936,6.346976645005611,4.201507687609532,5.175000250771662,3.781137898821674
DEV_008,3.2853481110297147,4.674506891908603,4.8252124901189495,2.9983556106188827,4.004643807016773,4.201507687609532,7.461393482162942,6.507405647968132,4.530520933127002,4.6045201200878045,3.4748511467890246,2.5753531314527423,5.030110751365524,3.902697549049091,5.09889875864405,3.781137898821674,4.890170090836806,5.388949080302665,5.624463188169688,5.706060332641124,4.452505051731105,6.0992126813853105,4.751136717424936,5.98304973337093,5.306921830545099,4.292282425484048,5.175000250771662,5.53951453256487,5.889940905017648,5.238776831239451,6.346976645005611,5.796736969965305,4.957723532101634,5.466277175766971,6.717894101851396,6.982588666577424,3.6452629974977313,4.370381830512162,6.218619312184061,4.114653821227783
DEV_009,6.0992126813853105,3.2853481110297147,6.982588666577424,4.114653821227783,5.889940905017648,4.8252124901189495,4.292282425484048,2.5753531314527423,4.674506891908603,2.9983556106188827,5.706060332641124,6.346976645005611,3.4748511467890246,5.175000250771662,3.6452629974977313,4.201507687609532,5.624463188169688,5.030110751365524,7.461393482162942,4.452505051731105,5.98304973337093,5.09889875864405,5.796736969965305,4.530520933127002,4.957723532101634,4.890170090836806,3.781137898821674,5.53951453256487,5.466277175766971,5.388949080302665,6.507405647968132,6.218619312184061,4.370381830512162,5.306921830545099,3.902697549049091,4.751136717424936,4.004643807016773,6.717894101851396,5.238776831239451,4.6045201200878045
DEV_010,3.781137898821674,3.902697549049091,4.452505051731105,3.2853481110297147,4.8252124901189495,5.706060332641124,4.957723532101634,2.9983556106188827,4.201507687609532,5.306921830545099,2.5753531314527423,3.4748511467890246,5.53951453256487,4.890170090836806,5.09889875864405,6.717894101851396,6.0992126813853105,6.218619312184061,7.461393482162942,5.175000250771662,4.674506891908603,5.889940905017648,5.98304973337093,5.030110751365524,4.114653821227783,6.982588666577424,5.796736969965305,4.751136717424936,6.346976645005611,5.388949080302665,4.6045201200878045,5.624463188169688,3.6452629974977313,5.238776831239451,6.507405647968132,5.466277175766971,4.370381830512162,4.004643807016773,4.292282425484048,4.530520933127002
